,No.,INSTITUTE NAME AND ADDRESS,DISTRICT,Est. Year,TYPE,ANM,GNM,B.Sc,P.B.Sc,M.Sc,NPM,NPCC,E-mail ID,Phone No.(Office),Phone No.(Principal),Phone No.(FAX),Last Insp. Date,YES/No
97,98.0,"Humantorch School of Nursing, Mayur Green,Plot No-6,opp- Sangambag Road,B/H-Patel Park, Jamnagar-361008",Jamnagar,2009,SFI,40,50,--,--,--,--,--,htcollegeofnsg@gmail.com,"0288  2553218
          2552450","8401999722
(T)9377616526
",0288 2556043,20th & 21st July 2018,NO
98,99.0,"Shree Shreyas Nursing Institute, At:Jodiya, Dist: Jamnagar – 361250",Jamnagar,2012,SFI,30,--,--,--,--,--,--,"shreyasnursing@gmail.com
agheraprabhulal@yahoo.com",288288461,"9408536482           
(T) 9426231104
9099758529
9426231104",,2015-03-16 00:00:00,NO
99,100.0,"Shree Swaminarayan Gurukul Nursing College, Shree Swaminarayan Smaj Seva Trsut, Jamnagar-Okha State Highway, Nr. Civil Airport Road, Naghedi, Jamnagar - 361 350",Jamnagar,2018,SFI,50,50,50,--,--,--,--,ppatel18@aol.in,9377811111,"9913161204
(T)9377811111",0288 2889539,13th &14th June 2018,NO
100,101.0,"Shri Dayaman Institute of Nursing & Research, Lakhabaval Road, Jamnagar-Okha State Highway, Jamnagar – 361 006 ",Jamnagar,2014,SFI,30,--,--,--,--,--,--,krishna.dayaman@gmail.com,"0288 2889555
","7874740623
(T)9998014275
",,23-24/04/2015,NO
101,102.0,"School of Nursing, General Hospital, Junagadh",Junagadh,1964,GOV,--,40,--,--,--,--,--,principalgnmschool2017@gmail.com,"0285 2652288
",,0285 2652288,23rd &24th May 2018,NO
102,103.0,"Kalp Institute of Nursing, C/o. Kalp Hospital, Cross Road, Zanzarda Chokdi, Junagadh-362001",Junagadh,2018,SFI,--,40,--,--,--,--,--,kin.jnd18@gmail.com,9428187999,"9428187999
(T)98796989551",,6th & 7th June 2018,NO
103,104.0,"Mahatma Gandhi School of Nursing, Rajmoti Park Soc., Khamdhrol Road, Nr. Balakrishna Society, Junagadh – 362 001",Junagadh,2011,SFI,40,40,40,--,--,--,--,mgsnjunagadh@yahoo.com,(O) 0285 2631731,"8511097972
(T)9825529345",,4th & 5th July 2018,NO
104,105.0,"Noble School of Nursing, “Parth Vatika”, Junagadh – Bhesan Road, Via:Vadal, Nr. Bamangam, Junagadh – 362 310",Junagadh,2011,SFI,--,50,40,30,--,--,--,nnsj11@gmail.com,9824299961,"9879014789
(T) 9904406626",,4th & 5th June 2018,NO
105,106.0,"SET School of Nursing, Radhekrishna Nagar, Vanthli Road, Junagadh",Junagadh,2012,SFI,--,40,--,--,--,--,--,sset.junagadh@gmail.com,0285 2675092,"9998943932
(T)9427501185",0285 2671703,13-14/05/2016,NO
106,107.0,"Shri Brahmanand School of Nursing, Brahmanand Education Campus, At: Chaparada, Tal: Visavadar, Dist: Junagadh-394160",Junagadh,2015,SFI,--,40,40,--,--,--,--,brahmanandcollegeofnursing@gmail.com,02873 210414,(T)9712371033      ,02873 210414,28th & 29th May 2018,NO
107,108.0,"School of Nursing, Civil Hospital, Nadiad",Kheda,"1987,
Re-2005",GOV,--,20,--,--,--,--,--,generalnursingschoolnadiad@gmail.com,0268 2529099,,,28th & 29th May 2018,NO
108,109.0,"Dinsha Patel College of Nursing, Opp. Mahagujarat Hospital, B/h Hundai Show Room, College Road,Nadiad – 387 001",Kheda,2011,SFI,--,50,60,20,10,--,--,dpcninfo@yahoo.com,0268- 2521500,"7567660166
(T)9825160843",0268- 2521500,29th &30th June 2018,NO
109,110.0,"Methodist School of Nursing, Methodist Hospital, Mission road, Nadiad-2",Kheda,1953,SFI,--,20,--,--,--,--,--,mschoolofnursing@yahoo.in,"0268-255780
",9662123067,,2nd & 3rd July 2018,NO
110,111.0,"Ratanba School of Nursing, At: Virpur, Tal: Balasinor, Dist: Kheda ",Kheda,2012,SFI,40,--,--,--,--,--,--,ratanbanursingschoolvirpur@yahoo.com,02690 278152,"9925783018
(T)8141852255", 02690 278051,2nd & 3rd July 2018,NO
111,112.0,"Siddhi Vinayak Institute of Nursing, Manek Nivas, At &Po: Dakor, Tal: Thasra, Dist: Kheda",Kheda,2013,SFI,40,30,--,--,--,--,--,svnursing@yahoo.in,"9512042601
9512042602","9512042601
(T)9099943702
",,30th &31st May 2018,NO
112,113.0,"Vinayaka College of Nursing, Nr-Hindu Anath Ashram, Opp- Sardar Patel Bhavan , Nadiad, Dist: Kheda",Kheda,2016,SFI,30,60,60,--,--,--,--,vinayakacollege@yahoo.in,0268 2562300,"9512043701
(T)9099943702",,1st December 2018,NO
113,114.0,"ANM School, General Hospital, Mandvi, Kutchh",Kutchh,2008,GOV,20,--,--,--,--,--,--,anm.mandvi@gmail.com,02834 222350,,02834 222632,05-06/05/2014,YES
114,115.0,"ANM School, Government Hospital, Rapar ",Kutchh,2008,GOV,20,--,--,--,--,--,--,"fhwtsrapar@yahoo.com
anm.rapar@gmail.com",02830 220307,,02830 220307,07-08/05/2014,YES
115,116.0,"School of Nursing, G.K. General Hospital, Bhuj",Kutchh,"1987,
Re-2005",GOV,20,20,--,--,--,--,--,"anm.bhuj@gmail.com,
fhwbhuj@yahoo.in",0283 2250111,,0283 2250150,07-08/05/2014,YES
116,117.0,"BMCB College of Nursing, City Square Township, At: Lakhod, Bhuj, Tal: Bhuj, Dist: Kutchh- 370 105",Kutchh,2009,SFI,20,50,50,--,10,--,--,bmcbcollegeofnursing@yahoo.co.in,02832  271215,"9687404164
(T)7208290271", 02832 271215,29th &30th June 2018,NO
117,118.0,"Nirmala Gajwani School of Nursing, Plot No. 657, ward 12-C, Lilshah Nagar Circle, Gandhidham, Kutchh",Kutchh,2010,SFI,20,40,--,--,--,--,--,ngsn.gandhidham@gmail.com                       ,"02836   295903
","9033822094
(T)9909475450",,08-09/06/2015,NO
118,119.0,"SKLP Nursing Institute of Education and Practice, Mundra Road, Bhuj-Kutchh - 370 001",Kutchh,2011,SFI,--,40,40,--,--,--,--,sklpnursinginstitute@gmail.com,02832-230077," 9925730077
 9428668338 
(T)9825453965",02832 231133,27th & 28th June 2018,NO
119,120.0,"School of Nursing, State Hospital, At: Santrampur, Dist: Mahisagar",Mahisagar,2015,GOV,--,30,--,--,--,--,--,gnmschoolsantrampur@yahoo.com,02675 220036,,,11-12/05/2016,NO
120,121.0,"Shital School of Nursing, Shriji Campus, Pattan Road, Ghodariya, Post: Kakachiya, Tal: Lunawada, Dist: Mahisagar",Mahisagar,2012,SFI,30,40,--,--,--,--,--,shitalinstituteofnursing@gmail.com,02674 250166,"9558862787
(T)9426404477",02674 250266,6th & 7th July 2018,NO
121,122.0,"ANM School, G. D. General Hospital, Visnagar",Mehsana,2008,GOV,20,--,--,--,--,--,--,anm.visnagar@gmail.com,02765 223512,, 02765 223512,12-13/05/2014,YES
122,123.0,"Ambaji Nursing College, At: & Post: Ganeshpura, Kayal Road, Tal: Kadi, Dist: Mehsana",Mehsana,2017,SFI,--,30,40,--,--,--,--,ambajinursingcollege@gmail.com,"02764273201,
9016235323,
9913718291           ",,,6th & 7th July 2018,NO
123,124.0,"Jatan School of Nursing, 2nd & 3rd Floor,  Apple Arcade, Opp. Jatan Childeren Hospital, Ta: Kheralu, Dist: Mehsana",Mehsana,2018,SFI,--,40,--,--,--,--,--,jatannursingschool@gmail.com,02761 231244,"9898852481
(T)9426895015",02761 231344,27th & 28th June 2018,NO
124,125.0,"Joitiba College of Nursing, At: Bhandu, Tal:Visnagar, Mehsana",Mehsana,2008,SFI,50,60,60,20,25,--,--,jcnbhandu@gmail.com,"02765 287034,
","8141884999
(T)9687637251
",02765 287945,29th &30th June 2018,NO
125,126.0,"K J School of Nursing, At & Post : Vadasama,  Ta & Dist : Mehsana-384001",Mehsana,2016,SFI,40,50,50,--,--,--,--,kjnursing2017@gmail.com,02762 278305             ,"9924823909
(T)9825032281",,31st and 1st June 2018,NO
126,127.0,"Manav Nursing School, Opp. Jogniya Mata, Visnagar, Gunja Highway Road, Dist: Mehsana",Mehsana,2011,SFI,--,40,30,--,--,--,--,avadhtotal@yahoo.co.in , 02765-222508,"9427682784
9426385848
(T)7573052444
", 02765-222508,2nd & 3rd July 2018,NO
127,128.0,"Mehsana District Bank School of Nursing (ANM), Lions General Hospital,  Jail Road, Mehsana, Pin: 384002",Mehsana,2013,SFI,30,50,40,--,--,--,--,lionsconmehsana@gmail.com,027662 241969,"9904426614
(T)9904426614",02762-240410,27th & 28th June 2018,NO
128,129.0,"Merchant Nursing College,At: & Post: Basna, Tal: Visnagar, Dist: Mehsana",Mehsana,2018,SFI,40,40,40,--,--,--,--,director.merchantnursing@gmail.com,"9723706132
9723706186","(T)9974807444
      9099063065",,4th & 5th July 2018,NO
129,130.0,"Mother Teressa College of Nursing, At:Godhva, Nr.Telephone Exchnage, Bakarpura Road, Tal:Visnagar, Dist: Mehsana-384315",Mehsana,2009,SFI,20,40,40,--,--,--,--,motherterrasagothava@gmail.com                         ,02765-281213,"9714820525
(T)9879596491
",02765- 281212,23-24/05/2016,NO
130,131.0,"Nootan College of Nursing, S.P. Sahakar Vidhyadham, Nr. Kamna Crossing, S.K. Campus, Ambaji-Gandhinagar Highway, At:Visnagar, Mehsana",Mehsana,2011,SFI,30,60,60,--,20,--,--,"fn.ncn@spu.ac.in
nootancollegeofnursing@yahoo.com nootannursingschool@gmail.com",7624020423,"7567659912
8347025050
(T)9898989819
",02765-233008,11th & 12th June 2018,NO
131,132.0,"P. & T. School of Nursing, At: Bhandu, Ta: Visnagar, Mehsana",Mehsana,2011,SFI,30,40,--,--,--,--,--,ptpnursing@gmail.com,02765 287922,"6359257901
9662766851
(T)9898074351
      9426020264
      6359257902

",02765- 287923,09-10/06/2014,YES
132,133.0,"R. G. Patel Nursing School(Shree Saraswati Kanya Kelvani Mandal Sanchalit College Of Nursing) At : Nanikadi,  Tal : Kadi, Dist : Mehsana-382715",Mehsana,2010,SFI,--,40,30,--,--,--,--, Shakuntala160350@yahoo.com,02764  242031,"9825965156
(T)9726082402",02764  242031,2nd & 3rd July 2018,NO
133,134.0,"Ratna Prabha Nursing School, Nr. Bus Depot, At: & Post: Vadnagar, Dist: Mehsana - 384 355",Mehsana,2015,SFI,20,50,50,--,--,--,--,"office.rpni@kst.org.in
principal.rpni@gmail.com",02761-222605,"7600601409
(T)9924105686",,29th &30th June 2018,NO
134,135.0,"School of Nursing, Civil Hospital, Mehsana",Mehsana,1978,GOV,--,50,--,--,--,--,--,princignmmehsana2015@gmail.com,02762 220327,,,01-02/06/2017,NO
135,136.0,"Shree Sai School of Nursing, Nr. Vyapar Bhavan, S.T. Bus Station Road, Nagar Vaniya Bording, Visnagar-384315, Dist: Mehsana ",Mehsana,2011,SFI,30,--,--,--,--,--,--,shreesaikrupa002@yahoo.com,02765 232435,"8140236042
(T)9426031672",,2nd & 3rd July 2018,NO
136,137.0,"Shri Maharshi Dayanand Saraswati Nursing School, B/h Parikh D. D. Kanya Vidhyalaya, Opp. Dosabhai baug, Station Road, Visnagar - 384 315, Dist: Mehsana",Mehsana,2018,SFI,20,--,--,--,--,--,--,mdsnursing.2018@gmail.com,02765-222385,"9898035864                     
(T)9898035864",,5th & 6th July 2018,NO
137,138.0,"ANM School, Government Hospital, Morbi",Morbi,2008,GOV,20,--,--,--,--,--,--,anm.morbi@gmail.com fhwtcm@gmail.com sr_morbia@yahoo.co.in,02822 234475,,02822 234475,05-06/05/2014,YES
138,139.0,"Krishna Institute of Nursing, Krishna Multispeciality Hospital, Shanala Road, Morbi",Morbi,2014,SFI,20,--,--,--,--,--,--,krishnanursinginstitutemorbi@gmail.com,02822 224491,"7574877720
(T)9624959593
      9727799188",,21-22/04/2015,NO
139,140.0,"Shree N. L. Amodra School of Nursing, At: Charadva, Tal: Halvad, Dist:Morbi -363330",Morbi,2012,SFI,30,20,20,--,--,--,--,namodra412@gmail.com  nlamodra_nursing@yahoo.com,02758 240571,"9913562420
(T)9638952606",02758 240571,29th & 30 June 2018,NO
140,141.0,"School of Nursing, Civil Hospital, Rajpipla",Narmada,2008,GOV,20,30,--,--,--,--,--,anmtrainingrajpipla@yahoo.com anm.rajpipla@gmail.com,"02640 222891
",, 02640 224230,20-21/05/2016,NO
141,142.0,"Shree Swaminarayan Nurisng College, Tanakhala Road, Tal:Garudeshwar, Dist: Narmda",Narmada,2017,SFI,--,--,40,--,--,--,--,"ssncbsckevadia@gmail.com
","9925049510
9426125860",,,3rd & 4th July 2018,NO
142,143.0,"School of Nursing, M.G.G. Hospital, Navsari",Navsari,1986,GOV,20,20,--,--,--,--,--,anm.navsari@gmail.com,02637 230709,,02637 233093,07-08/05/2014,YES
143,144.0,"S. S. Agrwal College of Nursing, Verranjli Marg, Opp. Vidhyakunj High school, Nr. Devina Park Society, Gandevi Road, Navsari-396445",Navsari,2010,SFI,30,50,50,--,15,--,--,ssagconprincipal@gmail.com,02637 232667,"7878515794
",02637 232857,8th & 9th June 2018,NO
144,145.0,"Shree Swaminarayan Nursing College, Shiv Education and Welfare Trust, At: Khundh, Vasda Road, Tal: Chikhli, Dist: Navsari ",Navsari,2018,SFI,30,30,40,--, ,--,--,sncollegechikhli@gmail.com,02634 292928,"9512039009
(T)9537199199",,,NO
145,146.0,"School of Nursing, Civil Hospital, Godhra",Panchmahal,1980,GOV,--,50,--,--,--,--,--,gnmschoolgodhra@yahoo.com,"02672 252742
",,02672 242559,11th & 12th June 2018,NO
146,147.0,"GVM Nursing College, Gopalak Vikas Madal, At: & Post: Aniyad, Tal: Shahera, Dist: Panchmahal – 389 210",Panchmahal,2011,SFI,30,40,55,--,20,--,--,gvmnursing@gmail.com,"9979402863
9099063119","8141590975
(T)9979402863
      8469693412", 02670 227001,22nd & 23 June 2018,NO
147,148.0,"ANM School,  Sheth N. L. General Hospital, Patan",Patan,2008,GOV,20,--,--,--,--,--,--,anmschoolpatanprincipal@yahoo.com anm.patan@gmail.com,02766 232761,,,07-08/05/2014,YES
148,149.0,"ANM School, Civil Hospital, Radhanpur",Patan,2008,GOV,20,--,--,--,--,--,--,anm.radhanpur@gmail.com,02746 277602,,,09-10/05/2014,YES
149,150.0,"Government College of Nursing, G.M.E.R.S. Medical College & Hospital,Campus, At: Dharpur, Tal: & Dist: Patan – 384265 ",Patan,2009,GOV,--,--,40,--,--,--,--,gconpatan@gmail.com,"02766 265355
           265455",,,,NO
150,151.0,"Government College of Nursing, General Hospital, Siddhpur. Di: Patan",Patan,2012,GOV,40,50,50,--,--,--,--,gcon.siddhpur@gmail.com,"02767-223350
           226350
",,2767223350,09-10/06/2017,NO
151,152.0,"B. M. Patel School of Nursing, At: & Post: Hajipur, Sidhhpur Road, Dist: Patan",Patan,2012,SFI,60,50,50,--,--,--,--,bmhajipur@yahoo.com   ,02766 28505,"9924524022
(T)9925200834/39",,3rd December 2018,NO
152,153.0,"D. I.  Patel School of Nursing, Tiranga Vidhya Sankul, At: & Post: Sujanpur, Tal: Sidhpur, Dist: Patan",Patan,2009,SFI,30,50,50,--,--,--,--,sipct_sujanpur@yahoo.com,02767 220022,"9714967377
(T)9925200834/39        ",,3rd December 2018,NO
153,154.0,"Gokul Nursing College, Gokul Education Campus, Sujanpura  Patiya, Opp- IOC  State Highway, Siddhpur, Dist : Patan ",Patan,2016,SFI,--,55,55,--,--,--,--,gokulnursingcollege@gmail.com vasant01patel@gmail.com,02767-224855 ,"9099033643
(T)9879112560
     9099054767",02767-224855,4th & 5th July 2018,NO
154,155.0,"Shree Shankar School of Nursing, At: Manund, Manund –Lanva Road, Dist: Patan-384260",Patan,2012,SFI,30,40,--,--,--,--,--,"shreeshankarnursingschool@gmail.com,
shankarnursingschool@gmail.com",02766 275121 ,"9723395300
(T)9327043165", 02766 275123,19-20/05/2014,YES
155,156.0,"General Nursing School, Bhavsinh General Hospital, S.T. Road, Porbandar- 360 575",Porbandar,2017,GOV,--,60,--,--,--,--,--,nursing.school.porbandar@gmail.com,"0286-2244338
",,0286 2242910,13th &14th June 2018,NO
156,157.0,"Shree Swaminarayan R. P. Badiyani and S.R.Badiyani Institute of Nursing, Shree Swaminarayan Education and Medicare Foundation, At: Chhaya, Porbandar , ",Porbandar,2017,SFI,40,30,30,--,--,--,--,swamijipbr@gmail.com,0286-2245973,"09898275263
(T)09825230451                     ",,2nd & 3rd July 2018,NO
157,158.0,"ANM School, B/h Bhumali Bhavan, Hiralal Gosaliya Road, Rajkot",Rajkot,2010,GOV,20,--,--,--,--,--,--,anmnursingschool_rajkot@yahoo.com anm.rajkot@gmail.com, 0281-2471066,,,23-24/04/2015,NO
158,159.0,"Government College of Nursing, P.D.U. Hospital, Rajkot",Rajkot,1956,GOV,--,--,50,--,--,20,--,govtnursingcollegerjt@gmail.com,0281-2471918,,,12-13/05/2014,YES
159,160.0,"Arpit Nuring School & College, ""ARPIT"" Block No. 29, Gunjan Vihar, University Road, Rajkot - 360005",Rajkot,2018,SFI,--,20,20,--,--,--,--,arpitcollege@gmail.com,937705350,"9909971477
(T)9909943063",,,NO
160,161.0,"Balaji  College of Nursing, Gondal- Virpur,NH – 27, At – Gomta, Nr- Charakhadi Crossing, Gondal – 360320.",Rajkot,2017,SFI,40,40,50,30,--,--,--,dhaduk.edu@gmail.com,9725053023,"9427045036
(T)9724200100",02727 287263,8th & 9th June 2018,NO
161,162.0,"Christ College of Nursing, Christ Hospital, Madhapar, Jamnagar Road, Rajkot-360006",Rajkot,2018,SFI,--,--,20,--,--,--,--,christcollegeofnursingrajkot@gmail.com,"9374351814/818 
",,,4th & 5th July 2018,NO
162,163.0,"Faiz Bright Nursing School 8-A, National Highway, At: Lalpar, Tal: Wakaner,   Dist: Rajkot – 363621  ",Rajkot,2013,SFI,30,--,--,--,--,--,--,"thefaiznursingschool@gmail.com,
adilbadi47@gmail.com",02828-221171,"9712232747
(T)9825224687",,14-15/05/2014,YES
163,164.0,"Jay Somnath Institute of Nursing Education, At: Dholra, Dist: Rajkot",Rajkot,2010,SFI,40,50,50,30,--,--,--,shaileshkamalia@gmail.com,"9512099059

","(T)9898847080  


",,6th & 7th July 2018,NO
164,165.0,"Kamdar College of Nursing, Haripar(Pal), Survey No.12, B/h NRI Bunglows, Kalavad Road, Rajkot-360007",Rajkot,2011,SFI,30,50,40,30,12,--,--,"kamdarparesh@gmail.com
kamdarnursing@gmail.com",9375007440,"9510058611,    
(T)9426907440",,2nd & 3rd July 2018,NO
165,166.0,"M. Y. Patel School/College of Nursing, Kailashnagar-Bhavnagar Road, At: Atkot, Tal: Jasdan, Dist: Rajkot",Rajkot,2010,SFI,30,40,50,30,--,--,--,shreemdbp@yahoo.com, 02821 288339,"9974593155
(T)9426961132
",02821 288350,20-21/05/2016,NO
166,167.0,"Matrushri Vrajkuvarben B. Manvar School of Nursing, At: Dumiyani, Tal: Upleta, Dist: Rajkot – 360 440",Rajkot,2010,SFI,30,50,--,--,--,--,--,nursingdumiyani@gmail.com, 02826 295807,"9426221999
(T)9099751771
",02826 222808,2nd & 3rd July 2018,NO
167,168.0,"Murlidhar College of Nursing, Kalipat, Bhav Nagar Road, Opp. R. K. College, Dist: Rajkot",Rajkot,2010,SFI,30,40,50,--,--,--,--,murlidharnursinginstitute@gmail.com,0281  2785020 ,"8141343999
(T)9925024603",0281 2785021,02-03/06/2014,YES
168,169.0,"Saurastra Kidney Research Institute of Nursing, C/o. B.T. Savani Kidney Hospital, Nr. University Gate, Rajkot – 360005",Rajkot,2013,SFI,--,40,--,--,--,--,--,skrischool@gmail.com ,0281 2555184,"7600591005
(T)8460609008",0281 2561292,08-09/07/2016,NO
169,170.0,"Shree Anand College of Nursing, Plot No. 1 to 4, B/h Sainik Society,Opp. Ganteshwar Park, Rajkot –Jamanagar Highway, Rajkot",Rajkot,2007,SFI,40,60,60,30,20,--,--,sumangalam_rjt@rediffmail.com,"0281 2970837
","9558159445
(T)9428003863
",0281  2920012 ,2014-07-31 00:00:00,YES
170,171.0,"Shree H. N. Sukla Nursing School/College, Sanklp Social Education Trust, Nr. Lapari Lake, B/h Marketing Yard, Amargadh (Bhichari), Rajkot",Rajkot,2011,SFI,40,60,60,--,--,--,--,hnsnursing@gmail.com mrupani2005@gmail.com sanjayvadhar@gmail.com,"8758948300
8141840857","7621088006
(T)9099063359",0281 2472590,5th &6th June 2018,NO
171,172.0,"Shree Saraswati College of Nursing, At: & Post: Bhutvad, Tal: Dhoraji, Dist: Rajkot – 360 410",Rajkot,2010,SFI,30,--,40,--,--,--,--,"sarswaticon.2010@yahoo.in 
saraswatianm2016@yahoo.in",02824 222882,"9428440074
(T)9426269920    ",,21-22/07/2017,NO
172,173.0,"Shree Sodha School of Nursing, No. 2, Railnagar Society, B/h Popat Para, Rajkot - 360 001",Rajkot,2014,SFI,40,60,60,--,--,--,--,sodhainstitute@gmail.com,0281 2471270,"9426857462
(T)9428003863",0281  2970837 ,6th & 7th June 2018,NO
173,174.0,"Shri Hansrajbhai Savajibhai Radadiya Nursing College, At: Kalawad Road, Tal: Jamkandorana, Dist: Rajkot",Rajkot,2017,SFI,--,50,50,--,--,--,--,"shrihsrnursing@gmail.com
kcjamkandorna@gmail.com",02824 272040,"9537476589
(T)9979065291",,29th & 30 June 2018,NO
174,175.0,"Vidhyanikunj Nursing School, 3. Krishna Nagar, Movadi Plot, Rajkot - 360 004",Rajkot,2011,SFI,30,30,--,--,--,--,--,jinjalamp@gmail.com,9426696928,"
(T)9898847080       ",,6th & 7th July 2018,NO
175,176.0,"School of Nursing, Sir Pratap General Hospital, Himatnagar",Sabarkantha,1987,GOV,--,50,--,--,--,--,--,nursingschoolhmt2014@gmail.com, 02772 249036,,02772 246618,13th &14th June 2018,NO
176,177.0,"School of Nursing, Vishwkalayan Society, Atmavallabh Hospital Campus, Himatnagar Road, At: Idar – 383 430 ",Sabarkantha,2009,SFI,30,60,--,--,--,--,--,dhavaldparikh@yahoo.com, 02778-252722,"9328619324
(T)9427367500",02778-252722,13-14/05/2016,NO
177,178.0,"Chitrini Nursing College for Women, At: & Post: Junabakarpura, Tal: Prantij, Dist: Sabarkantha",Sabarkantha,2010,SFI,30,40,50,--,30,--,--,gnanyog.trust@gmail.com, 02770-231422,"9898246488
9898246488
(T)9427481708    ",02770-230032,02-03/06/2017,NO
178,179.0,"D.L.Patel School of Nursing, Vidhyanagar,  Motipura, Dist : Himmatnagar-383001",Sabarkantha,2016,SFI,30,55,30,--,--,--,--,dlpanm15@gmail.com, 02772 244621,"9428465027
(T)9925073096",02772 245120,4th & 5th July 2018,NO
179,180.0,"Daliba Nursing School, At: & Post: Androkha,,  Tal: Vijaynagar, Dist: Sabarkantha",Sabarkantha,2017,SFI,--,40,--,--,--,--,--,hiteshpatel1682@gmail.com                                     drpareshpatel1551@gmail.com,9428151560,"9427594895
(T)9428151560", 0265-2370465,6th & 7th July 2018,NO
180,181.0,"Ekta Nursing School/College, At: NaviMetral, Tal:Khedbrhma, Dist:Sabarkantha",Sabarkantha,2011,SFI,30,40,40,--,--,--,--,ektaedu.inst@gmail.com, 02775 291580,"9429746164
(T)9909495802", 02775 291580,2nd & 3rd July 2018,NO
181,182.0,"Grow More Institute of Nursing, Ahmedabad-Udaipur Highway, Himatnagar, Dist: Sabarkantha – 383 001",Sabarkantha,2011,SFI,--,50,40,--,--,--,--,principal.nursing@growmore.ac.in Info@growmore.ac.in, 02772-225500," 09428513924
(T)9426503180",02772 255505,05-06/08/2017,NO
182,183.0,"Riddhi School of Nursing, Plot No.3, Chandra Nagar Society, Motipura, Himatnagar – 383 001",Sabarkantha,2014,SFI,30,40,--,--,--,--,--,riddhischoolofnursing@gmail.com,02772 229972 ,"9925072952
(T)9825313251",02772 229972,6th & 7th June 2018,NO
183,184.0,"Sabar School of Nursing, At: Vandiyol, Tal: Bhiloda, Dist: Sabarkantha",Sabarkantha,2013,SFI,30,40,40,--,--,--,--,sabarschoolofnursing@gmail.com,9428644487,"9428644487
(T)9426342763",,23rd &24th May 2018,NO
184,185.0,"Sadbhav School of Nursing, AT: Rupal, Himatnagar, Dist: Sabarkantha",Sabarkantha,2016,SFI,--,50,30,--,--,--,--,sadbhav.nursing@gmail.com," 9408001274
 02727 272115","9408001275
(T)9913383081
     9950331949",,6th & 7th July 2018,NO
185,186.0,"ANM School, Divisional Training Center, At: Sachin, Dist:Surat",Surat,2014,GOV,30,--,--,--,--,--,--,pr.anmsachin@gmail.com, 0261 2392250,,0261 2392250,17-18/04/2015,NO
186,187.0,"ANM Training School, Hatisha Road, Opp. Arts & Commerce College, At: Olpad, Dist: Surat",Surat,2014,SFI,20,--,--,--,--,--,--,shantilalpatel.sp@yahoo.com,02621 292244,"9071486030
(T)9426152252",,15-16/04/2015,NO
187,188.0,"Government College of Nursing, New Civil Hospital, Majura Gate, Surat ",Surat,1942,GOV,--,--,50,--,--,--,--,govtnursingcollege177@gmail.com,0261- 2233716,"
          ",0261-2241324,3rd & 4th July 2018,NO
188,189.0,"School of Nursing, Referal Hospital & CHC, At: Mandvi, Dist: Surat",Surat,2015,GOV,--,30,--,--,--,--,--,"gnm.mandvi@gmail.com,
principalgnmmandvi.surat@gmail.com",0261 2233716,,,12-13/04/2017,NO
189,190.0,"Aminaben M. Gangat School of Nursing, Sarvajanik Hospital, Chhada Ole, Rampura, Surat",Surat,2003,SFI,--,30,--,--,--,--,--,sarvajanikmedicaltrust@gmail.com amgm1schoolofnursing@yahoo.com, 0261-  2452177,"8460276343
(T)9898037770
      8488899998   ",0261- 2492062,20th & 21st July 2018,NO
190,191.0,"Bhagwan Mahavir School of Nursing, Surve No. 149, Ashirvadvilla Row- House, Nr. Heena Bunglow, New City Light Road, Barthana-Vesu, Surat-395017",Surat,2009,SFI,--,40,--,--,--,--,--,bmef.nursing@gmail.com, 0261  6770103-04,"9979485936
(T) 9898128768",0261  2268091,05-06/07/2017,NO
191,192.0,"Jaydeep Sharda Memorial school of Nursing, Kankaria Khadi, Parvat Godara Road, Surat",Surat,2006,SFI,20,40,--,--,--,--,--,aabangandhi999@gmail.com,9879282550,"8469622954
(T)9825238036",0261  2215103,11th & 12th June 2018,NO
192,193.0,"Kiran Nursing College, Samast Patidar Aarogya Trust, Kiran Hospital, Nr. Sumul Dairy, Surat - 395 004",Surat,2018,SFI,--,60,60,--,--,--,--,nursing.college@kiranhospital.com,0261 7161200,"07874752567
(T)9825131234",0261 7161200,11th & 12th June 2018,NO
193,194.0,"Maniba – Bhula College of Nursing, “ Gopal – Vidhyanagar” Bardoli- Mahuva Road, Bardoli  – 394 601, Dist: Surat",Surat,2008,SFI,--,40,50,20,25,--,--,director.mbnc@utu.ac.in," 02625 245141
7813033020 ","7813033020
(T)9825331307",02625  255882,16-17/05/2016,NO
194,195.0,"Metas School of Nursing, Seventh day Adventist Hospital, Athwalines, Surat",Surat,1977,SFI,--,60,--,--,--,--,--,"president@metasofsda.org,
nimmysyam@yahoo.co.in"," 0261 3047777
 02613047203","9723811842
(T)02613047209", 0261 2652402,19-20/06/2014,YES
195,196.0,"P. P. Savani School of Nursing, , P. P. Savani Knowledge City, At: & Post: Dhadod, Tal: Mangrol, Dist: Surat, ",Surat,2017,SFI,--,40,60,--,--,--,--,"principal.nursing@ppsu.ac.in
parag@ppsu.ac.in"," 9512035618
 0261 2577300","9099919288
(T) 9898484821",,27-28/05/2017,NO
196,197.0,"Shree Laxmipati Mahavir Nursing School, Chhapgar, Sangrampura, Surat - 395 002",Surat,2009,SFI,--,50,--,--,--,--,--,shreelaxmipati@yahoo.com,,"9913090664 
(T)8980024201
",0261  2462113,05-06/07/2017,NO
